kuhmo	x100	y100	ano	wno
86760	3610850	7090550	2	1
86758	3610650	7090550	3	2
86757	3610550	7090550	3	0
86745	3609350	7090550	0	0
86744	3609250	7090550	0	1
86742	3609050	7090550	0	0
86733	3608150	7090550	4	1
86732	3608050	7090550	2	2
86731	3607950	7090550	2	2
86730	3607850	7090550	0	0
86729	3607750	7090550	0	1
86728	3607650	7090550	2	0
86727	3607550	7090550	3	0
86725	3607350	7090550	14	3
86422	3614050	7090650	0	1
86414	3613250	7090650	16	0
86409	3612750	7090650	2	0
86408	3612650	7090650	6	0
86407	3612550	7090650	0	0
86406	3612450	7090650	1	0
86399	3611750	7090650	23	0
86398	3611650	7090650	14	0
86396	3611450	7090650	2	0
86391	3610950	7090650	21	1
86390	3610850	7090650	6	0
86389	3610750	7090650	4	4
86387	3610550	7090650	0	0
86386	3610450	7090650	3	0
86385	3610350	7090650	0	0
86384	3610250	7090650	8	0
86383	3610150	7090650	14	4
86382	3610050	7090650	12	4
86380	3609850	7090650	18	5
86379	3609750	7090650	4	1
86378	3609650	7090650	2	2
86375	3609350	7090650	1	0
86363	3608150	7090650	0	1
86362	3608050	7090650	0	0
86360	3607850	7090650	7	0
86359	3607750	7090650	1	0
86358	3607650	7090650	3	0
86357	3607550	7090650	4	2
86041	3612950	7090750	0	0
86036	3612450	7090750	3	4
86035	3612350	7090750	7	1
86027	3611550	7090750	12	3
86026	3611450	7090750	5	0
86025	3611350	7090750	4	0
86024	3611250	7090750	0	2
86020	3610850	7090750	8	6
86017	3610550	7090750	1	0
86016	3610450	7090750	9	1
86015	3610350	7090750	3	4
86014	3610250	7090750	14	3
86013	3610150	7090750	8	3
86012	3610050	7090750	7	2
86011	3609950	7090750	3	2
86010	3609850	7090750	8	0
86009	3609750	7090750	16	0
86008	3609650	7090750	18	8
86005	3609350	7090750	4	1
86004	3609250	7090750	17	2
86003	3609150	7090750	5	4
86002	3609050	7090750	0	0
85992	3608050	7090750	0	0
85991	3607950	7090750	0	0
85990	3607850	7090750	2	0
85665	3612350	7090850	0	0
85664	3612250	7090850	2	1
85663	3612150	7090850	5	2
85662	3612050	7090850	11	1
85655	3611350	7090850	7	1
85654	3611250	7090850	18	0
85647	3610550	7090850	0	2
85646	3610450	7090850	6	5
85645	3610350	7090850	5	0
85644	3610250	7090850	11	9
85643	3610150	7090850	5	1
85642	3610050	7090850	3	1
85641	3609950	7090850	0	2
85640	3609850	7090850	13	0
85639	3609750	7090850	12	1
85638	3609650	7090850	31	6
85637	3609550	7090850	23	5
85636	3609450	7090850	12	0
85635	3609350	7090850	4	0
85634	3609250	7090850	2	0
85633	3609150	7090850	27	0
85632	3609050	7090850	25	2
85631	3608950	7090850	20	3
85630	3608850	7090850	3	0
85627	3608550	7090850	3	4
85622	3608050	7090850	0	3
85621	3607950	7090850	0	1
85293	3612150	7090950	3	1
85292	3612050	7090950	5	5
85291	3611950	7090950	2	3
85284	3611250	7090950	10	0
85283	3611150	7090950	12	0
85282	3611050	7090950	3	1
85276	3610450	7090950	2	2
85275	3610350	7090950	6	2
85274	3610250	7090950	2	10
85273	3610150	7090950	7	9
85272	3610050	7090950	7	3
85270	3609850	7090950	15	0
85269	3609750	7090950	15	2
85268	3609650	7090950	21	3
85267	3609550	7090950	10	3
85265	3609350	7090950	24	0
85264	3609250	7090950	5	0
85263	3609150	7090950	11	0
85262	3609050	7090950	24	4
85261	3608950	7090950	66	4
85260	3608850	7090950	35	1
85259	3608750	7090950	31	0
85258	3608650	7090950	8	4
85257	3608550	7090950	22	4
85256	3608450	7090950	3	4
85255	3608350	7090950	1	0
85254	3608250	7090950	1	2
85253	3608150	7090950	0	2
85252	3608050	7090950	4	3
84928	3612650	7091050	2	0
84921	3611950	7091050	5	1
84920	3611850	7091050	5	1
84912	3611050	7091050	12	0
84911	3610950	7091050	13	1
84904	3610250	7091050	0	2
84903	3610150	7091050	0	8
84901	3609950	7091050	12	26
84899	3609750	7091050	3	3
84898	3609650	7091050	18	1
84897	3609550	7091050	10	7
84896	3609450	7091050	1	3
84894	3609250	7091050	12	0
84893	3609150	7091050	15	0
84892	3609050	7091050	16	3
84891	3608950	7091050	9	0
84890	3608850	7091050	14	0
84889	3608750	7091050	34	4
84888	3608650	7091050	10	4
84887	3608550	7091050	1	0
84886	3608450	7091050	5	2
84884	3608250	7091050	6	3
84555	3612350	7091150	11	2
84554	3612250	7091150	2	0
84552	3612050	7091150	13	4
84550	3611850	7091150	5	1
84549	3611750	7091150	2	0
84548	3611650	7091150	1	0
84528	3609650	7091150	13	5
84527	3609550	7091150	3	7
84524	3609250	7091150	10	2
84523	3609150	7091150	23	2
84522	3609050	7091150	8	0
84521	3608950	7091150	20	6
84520	3608850	7091150	6	1
84519	3608750	7091150	5	6
84518	3608650	7091150	0	1
84517	3608550	7091150	0	1
84516	3608450	7091150	2	11
84187	3612550	7091250	3	0
84181	3611950	7091250	2	3
84180	3611850	7091250	3	0
84179	3611750	7091250	7	0
84178	3611650	7091250	14	1
84157	3609550	7091250	0	0
84155	3609350	7091250	21	0
84154	3609250	7091250	8	2
84153	3609150	7091250	15	1
84152	3609050	7091250	29	2
84151	3608950	7091250	21	2
84150	3608850	7091250	22	2
84149	3608750	7091250	3	6
84148	3608650	7091250	9	5
84147	3608550	7091250	8	2
84146	3608450	7091250	5	1
84145	3608350	7091250	1	1
83817	3612550	7091350	21	4
83816	3612450	7091350	6	4
83810	3611850	7091350	12	0
83809	3611750	7091350	0	0
83806	3611450	7091350	0	1
83805	3611350	7091350	1	0
83786	3609450	7091350	0	2
83785	3609350	7091350	2	1
83784	3609250	7091350	2	2
83783	3609150	7091350	2	2
83782	3609050	7091350	18	1
83781	3608950	7091350	16	2
83780	3608850	7091350	14	0
83779	3608750	7091350	4	4
83778	3608650	7091350	0	0
83777	3608550	7091350	17	1
83776	3608450	7091350	9	1
83775	3608350	7091350	3	5
83445	3612350	7091450	11	0
83444	3612250	7091450	9	1
83433	3611150	7091450	5	0
83414	3609250	7091450	0	0
83413	3609150	7091450	0	2
83412	3609050	7091450	4	3
83411	3608950	7091450	3	3
83410	3608850	7091450	0	0
83409	3608750	7091450	0	0
83408	3608650	7091450	0	4
83407	3608550	7091450	0	3
83406	3608450	7091450	2	0
83405	3608350	7091450	5	1
83074	3612250	7091550	16	1
83070	3611850	7091550	5	1
83062	3611050	7091550	2	6
83061	3610950	7091550	5	11
83053	3610150	7091550	0	1
83048	3609650	7091550	0	1
83044	3609250	7091550	0	0
83043	3609150	7091550	1	0
83042	3609050	7091550	8	0
83041	3608950	7091550	3	0
83040	3608850	7091550	0	2
83039	3608750	7091550	1	0
83038	3608650	7091550	0	2
83036	3608450	7091550	0	2
82700	3611850	7091650	2	0
82699	3611750	7091650	6	3
82691	3610950	7091650	0	7
82690	3610850	7091650	7	3
82689	3610750	7091650	5	2
82682	3610050	7091650	5	11
82672	3609050	7091650	3	0
82671	3608950	7091650	3	11
82670	3608850	7091650	2	6
82669	3608750	7091650	0	0
82668	3608650	7091650	1	13
82667	3608550	7091650	2	1
82666	3608450	7091650	0	0
82665	3608350	7091650	0	0
82329	3611750	7091750	5	2
82320	3610850	7091750	7	1
82319	3610750	7091750	7	2
82318	3610650	7091750	6	0
82313	3610150	7091750	0	0
82301	3608950	7091750	0	0
82300	3608850	7091750	1	5
82299	3608750	7091750	1	15
82298	3608650	7091750	0	5
82297	3608550	7091750	1	3
82296	3608450	7091750	2	1
81951	3610950	7091850	3	1
81950	3610850	7091850	6	2
81949	3610750	7091850	2	1
81948	3610650	7091850	0	1
81947	3610550	7091850	7	11
81938	3609650	7091850	0	1
81935	3609350	7091850	0	0
81929	3608750	7091850	3	2
81928	3608650	7091850	6	6
81927	3608550	7091850	2	1
81926	3608450	7091850	0	3
81579	3610750	7091950	0	6
81576	3610450	7091950	6	3
81575	3610350	7091950	9	4
81568	3609650	7091950	0	4
81557	3608550	7091950	3	2
81210	3610850	7092050	3	6
81209	3610750	7092050	0	2
81208	3610650	7092050	0	5
81204	3610250	7092050	7	1
81203	3610150	7092050	5	0
81202	3610050	7092050	0	0
81199	3609750	7092050	0	0
80841	3610950	7092150	0	0
80839	3610750	7092150	1	6
80838	3610650	7092150	0	1
80832	3610050	7092150	2	0
80831	3609950	7092150	0	0
80830	3609850	7092150	2	0
80828	3609650	7092150	0	1
80822	3609050	7092150	0	4
80821	3608950	7092150	0	0
80471	3610950	7092250	0	2
80470	3610850	7092250	5	1
80469	3610750	7092250	1	0
80468	3610650	7092250	4	9
80467	3610550	7092250	0	0
80466	3610450	7092250	2	0
80461	3609950	7092250	9	0
80460	3609850	7092250	0	0
80458	3609650	7092250	2	1
80457	3609550	7092250	5	4
80456	3609450	7092250	6	0
80450	3608850	7092250	0	4
80449	3608750	7092250	0	0
80099	3610750	7092350	13	6
80098	3610650	7092350	8	4
80097	3610550	7092350	0	0
80096	3610450	7092350	0	0
80095	3610350	7092350	3	1
80094	3610250	7092350	0	0
80091	3609950	7092350	0	0
80090	3609850	7092350	0	0
80088	3609650	7092350	1	3
80087	3609550	7092350	7	4
80086	3609450	7092350	4	0
80085	3609350	7092350	5	5
80084	3609250	7092350	4	4
80083	3609150	7092350	5	3
79728	3610650	7092450	2	5
79727	3610550	7092450	0	3
79726	3610450	7092450	1	4
79725	3610350	7092450	3	0
79724	3610250	7092450	3	0
79723	3610150	7092450	9	0
79722	3610050	7092450	15	7
79719	3609750	7092450	0	0
79718	3609650	7092450	0	0
79717	3609550	7092450	2	0
79716	3609450	7092450	5	1
79357	3610550	7092550	0	2
79356	3610450	7092550	2	2
79355	3610350	7092550	7	12
79354	3610250	7092550	7	1
79353	3610150	7092550	14	6
79352	3610050	7092550	3	3
79351	3609950	7092550	16	11
79348	3609650	7092550	0	0
79347	3609550	7092550	0	0
79346	3609450	7092550	0	0
78985	3610350	7092650	7	9
78984	3610250	7092650	4	14
78983	3610150	7092650	9	5
78982	3610050	7092650	13	3
78981	3609950	7092650	6	9
78980	3609850	7092650	14	10
78979	3609750	7092650	3	2
78978	3609650	7092650	0	0
78976	3609450	7092650	0	0
78613	3610150	7092750	5	5
78612	3610050	7092750	5	8
78611	3609950	7092750	5	8
78610	3609850	7092750	5	4
78609	3609750	7092750	7	2
78608	3609650	7092750	0	0
78607	3609550	7092750	0	0
78241	3609950	7092850	5	7
78240	3609850	7092850	3	2
78239	3609750	7092850	5	4
78236	3609450	7092850	0	0
77869	3609750	7092950	0	7
77868	3609650	7092950	2	0
77867	3609550	7092950	2	0
